sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
native,12,original,F,boosting,raw,509,2.1387735198102726,0.21021611001964635
native,12,original,F,linear,raw,509,2.2551617421859897,0.18664047151277013
native,12,original,F,ml_selected,raw,509,2.011436067865011,0.20235756385068762
native,12,original,F,qrf,raw,509,2.011436067865011,0.20235756385068762
native,12,original,F,threshold,raw,509,2.3150175059954545,0.22396856581532418
native,12,original,R,boosting,raw,509,2.0267798745355887,0.1807465618860511
native,12,original,R,linear,raw,509,2.1316619658302103,0.1905697445972495
native,12,original,R,ml_selected,raw,509,2.019198098637888,0.18860510805500982
native,12,original,R,qrf,raw,509,2.042227345775291,0.20235756385068762
native,12,original,R,threshold,raw,509,2.056515366581259,0.19646365422396855
native,12,own_scale,B,boosting,raw,509,2.036025458557724,0.19842829076620824
native,12,own_scale,B,linear,raw,509,2.0931960760809534,0.18664047151277013
native,12,own_scale,B,ml_selected,raw,509,2.0367858670673087,0.18271119842829076
native,12,own_scale,B,qrf,raw,509,2.0367858670673087,0.18271119842829076
native,12,own_scale,B,threshold,raw,509,2.2272297940032013,0.21218074656188604
native,12,own_scale,F,boosting,raw,509,2.0627242437071494,0.20039292730844793
native,12,own_scale,F,linear,raw,509,2.2397333183457837,0.1905697445972495
native,12,own_scale,F,ml_selected,raw,509,1.9902048032717676,0.19646365422396855
native,12,own_scale,F,qrf,raw,509,1.9902048032717676,0.19646365422396855
native,12,own_scale,F,threshold,raw,509,2.1283866068596633,0.206286836935167
native,12,own_scale,R,boosting,raw,509,1.976015552177116,0.1787819253438114
native,12,own_scale,R,linear,raw,509,2.100228327575898,0.18664047151277013
native,12,own_scale,R,ml_selected,raw,509,1.9932308856612848,0.1787819253438114
native,12,own_scale,R,qrf,raw,509,2.0179563503742703,0.1925343811394892
native,12,own_scale,R,threshold,raw,509,1.9640271873978787,0.15520628683693516
native,12,original,B,boosting,calibrated,509,1.9244685276930629,0.1100196463654224
native,12,original,B,linear,calibrated,509,2.0148720475722803,0.09037328094302555
native,12,original,B,ml_selected,calibrated,509,1.8928609350232377,0.09823182711198428
native,12,original,B,qrf,calibrated,509,1.8928609350232377,0.09823182711198428
native,12,original,B,threshold,calibrated,509,2.0733450650366168,0.10609037328094302
native,12,original,F,boosting,calibrated,509,1.9264196291548952,0.10609037328094302
native,12,original,F,linear,calibrated,509,2.187985099820513,0.10609037328094302
native,12,original,F,ml_selected,calibrated,509,1.864736537101706,0.10412573673870335
native,12,original,F,qrf,calibrated,509,1.864736537101706,0.10412573673870335
native,12,original,F,threshold,calibrated,509,2.075867714914205,0.11198428290766209
native,12,original,R,boosting,calibrated,509,1.9198070689820892,0.09823182711198428
native,12,original,R,linear,calibrated,509,2.0365588436292725,0.0962671905697446
native,12,original,R,ml_selected,calibrated,509,1.8837313202156416,0.0962671905697446
native,12,original,R,qrf,calibrated,509,1.8804552992661707,0.10609037328094302
native,12,original,R,threshold,calibrated,509,1.9704383906440908,0.10609037328094302
native,12,own_scale,B,boosting,calibrated,509,1.9065575980836795,0.1100196463654224
native,12,own_scale,B,linear,calibrated,509,2.0174171082023293,0.09037328094302555
native,12,own_scale,B,ml_selected,calibrated,509,1.918574192849851,0.10412573673870335
native,12,own_scale,B,qrf,calibrated,509,1.918574192849851,0.10412573673870335
native,12,own_scale,B,threshold,calibrated,509,2.1203244476342675,0.11394891944990176
native,12,own_scale,F,boosting,calibrated,509,1.9093533391463473,0.10412573673870335
native,12,own_scale,F,linear,calibrated,509,2.174647773792925,0.10609037328094302
native,12,own_scale,F,ml_selected,calibrated,509,1.8653680209568904,0.10609037328094302
